Most recent sessions as of 2020-05-09 21:18:10.006452
User,In,Out,Net,Chips in play,Contact
rsandz,7000.0,0.0,-7000.0,3620.0,None provided
All-in-Fili,4000.0,0.0,-4000.0,1130.0,None provided
rupumped,2000.0,0.0,-2000.0,3980.0,None provided
ironpiggy,2000.0,0.0,-2000.0,1147.0,None provided
Shikari,6010.0,0.0,-6010.0,0.0,
jguggenh,1000.0,0.0,-1000.0,5994.0,None provided
bobman1234,2000.0,0.0,-2000.0,2750.0,None provided
Gab,2000.0,0.0,-2000.0,7389.0,None provided

rsandz,3000.0,7462.0,4462.0,,None provided
All-in-Fili,2000.0,3264.0,1264.0,,None provided
rupumped,1000.0,3129.0,2129.0,,None provided
ironpiggy,3000.0,0.0,-3000.0,,None provided
Shikari,5000.0,0.0,-5000.0,,
jguggenh,3000.0,0.0,-3000.0,,None provided
bobman1234,1000.0,7145.0,6145.0,,None provided
WhiteRhino,3000.0,0.0,-3000.0,,None provided

Hands played: 116
Hands played last session: 0
