Most recent sessions as of 2020-06-13 23:06:45.142463
User,In,Out,Net,Chips in play,Contact
rsandz,3000.0,0.0,-3000.0,0.0,None provided
rupumped,2000.0,0.0,-2000.0,13139.0,None provided
ironpiggy,2000.0,2018.0,18.0,0.0,None provided
jguggenh,2000.0,965.0,-1035.0,0.0,None provided
Shikari,5000.0,0.0,-5000.0,0.0,
Gab,9000.0,2000.0,-7000.0,990.0,None provided
bobman1234,2000.0,0.0,-2000.0,2530.0,None provided
All-in-Fili,4000.0,2000.0,-2000.0,5358.0,None provided

Hands played: 115
Hands played last session: 0
